Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,ID
PowerUp Heroes,Xbox360,2011.0,Fighting,Ubisoft,61.0,13.0,7.5,10.0,Ubisoft,E10+,5881
Jonas,Nintendo DS,2009.0,Adventure,Disney Interactive Studios,45.0,4.0,,,Altron,E,5882
Macross Digital Mission VF-X,PS,1997.0,Simulation,Namco Bandai Games,,,,,,,5883
Rayman 2: Revolution,PS2,2000.0,Platform,Ubisoft,90.0,16.0,8.2,42.0,Ubisoft,E,5884
Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003.0,Action,Atari,,,,,,,5885
Super Bomberman 5,SNES,1997.0,Puzzle,Hudson Soft,,,,,,,5886
One Piece Unlimited Cruise SP,Nintendo 3DS,2011.0,Action,Namco Bandai Games,46.0,20.0,7.3,14.0,Bandai Namco Games,,5887
Madden NFL 13,Sony PS Vita,2012.0,Sports,Electronic Arts,63.0,6.0,7.3,38.0,EA Tiburon,E,5888
Army Men: Air Attack 2,PS,2000.0,Action,3DO,74.0,8.0,5.3,4.0,3DO,T,5889
NBA Live 2003,GC,,Sports,Electronic Arts,82.0,11.0,8.2,5.0,EA Canada,E,5890
Stranglehold,Sony PS3,2007.0,Shooter,Midway Games,77.0,22.0,7.9,48.0,Midway,M,5891
Pride FC: Fighting Championships,PS2,2003.0,Fighting,THQ,73.0,19.0,8.6,7.0,Anchor,M,5892
Eternal Ring,PS2,2000.0,Role-Playing,Ubisoft,62.0,13.0,5.3,9.0,From Software,T,5893
Dragon Force,SAT,1996.0,Strategy,Sega,,,,,,,5894
Dynasty Warriors 8: Xtreme Legends,Sony PS4,2014.0,Action,Tecmo Koei,,,,,,,5895
Resident Evil Archives: Resident Evil,Nintendo Wii,2008.0,Action,Capcom,76.0,11.0,8.9,41.0,Capcom,M,5896
Dynasty Warriors 6,Xbox360,2007.0,Action,Tecmo Koei,60.0,42.0,7.4,22.0,Omega Force,T,5897
Silent Hill: Shattered Memories,Sony PSP,2010.0,Action,Konami Digital Entertainment,73.0,28.0,7.5,43.0,"Climax Group, Climax Studios",M,5898
Dragon Quest Builders: Revive Alefgard,Sony PS Vita,2016.0,Role-Playing,Square Enix,,,,,,,5899
Winning Post 2,SNES,1995.0,Sports,Tecmo Koei,,,,,,,5900
Star Gladiator Episode: I Final Crusade,PS,1996.0,Fighting,Virgin Interactive,,,,,,,5901
Dance Dance Revolution Universe 3,Xbox360,2008.0,Simulation,Konami Digital Entertainment,65.0,6.0,7.7,7.0,Konami,E,5902
Showdown: Legends of Wrestling,PS2,2004.0,Fighting,Acclaim Entertainment,55.0,24.0,6.1,7.0,Acclaim,T,5903
Sword Art Online: Hollow Fragment,Sony PS Vita,2014.0,Role-Playing,Namco Bandai Games,67.0,28.0,7.6,131.0,Bandai Namco Games,T,5904
Imagine: Family Doctor,Nintendo DS,2009.0,Simulation,Ubisoft,,,,,Wizarbox,E,5905
Far East of Eden Zero,SNES,1995.0,Role-Playing,Hudson Soft,,,,,,,5906
Full Spectrum Warrior,PS2,2005.0,Strategy,THQ,74.0,24.0,8.0,13.0,Pandemic Studios,M,5907
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Nintendo Wii,2010.0,Misc,Namco Bandai Games,,,,,,,5908
The Sims 2: Pets,PS2,2006.0,Simulation,Electronic Arts,68.0,27.0,8.0,25.0,Maxis,T,5909
Wacky Races: Crash & Dash,Nintendo Wii,2008.0,Racing,Eidos Interactive,,,,,,,5910
Power Pro Kun Pocket 6,GBA,2003.0,Sports,Konami Digital Entertainment,,,,,,,5911
Power Pro Kun Pocket 10,Nintendo DS,2007.0,Sports,Konami Digital Entertainment,,,,,,,5912
Finding Nemo: The Continuing Adventures,GBA,2004.0,Action,THQ,,,,,Altron,E,5913
Spirit: Stallion of the Cimarron,GBA,2002.0,Platform,THQ,46.0,5.0,,,Hyperspace Cowgirls,E,5914
The Suite Life of Zack & Cody: Circle of Spies,Nintendo DS,2007.0,Action,Disney Interactive Studios,,,,,,,5915
Future Cop L.A.P.D.,PS,1997.0,Simulation,Electronic Arts,,,,,,,5916
MySims Party,Nintendo DS,2009.0,Simulation,Electronic Arts,64.0,9.0,,,EA Games,E,5917
Hamster Tarou,GB,1999.0,Simulation,Jorudan,,,,,,,5918
Fist of the North Star: Ken's Rage 2,Sony PS3,2012.0,Fighting,Tecmo Koei,49.0,19.0,7.0,19.0,"Koei, Omega Force",M,5919
Shark Tale,GC,2004.0,Action,Activision,69.0,23.0,,,Edge of Reality,E,5920
MLB SlugFest Loaded,PS2,2004.0,Sports,Midway Games,77.0,30.0,9.5,4.0,Point of View,T,5921
Squinkies,Nintendo DS,2011.0,Misc,Activision,,,,,Human Soft,E,5922
Rapala Pro Bass Fishing 2010,Nintendo Wii,2010.0,Sports,Activision,,,,,FUN Labs,E,5923
Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,56.0,22.0,8.4,9.0,Konami,E,5924
Capcom Classics Collection Remixed,Sony PSP,2006.0,Misc,Capcom,72.0,37.0,7.0,5.0,Digital Eclipse,T,5925
1701 A.D.,PC,2006.0,Simulation,Deep Silver,79.0,30.0,8.3,38.0,Related Designs,E10+,5926
Lego Star Wars: The Force Awakens,Xbox One,2016.0,Action,Warner Bros. Interactive Entertainment,76.0,11.0,7.0,18.0,TT Games,E10+,5927
Little Deviants,Sony PS Vita,2011.0,Platform,Sony Computer Entertainment,57.0,62.0,5.5,53.0,Bigbig Studios,E10+,5928
Spider-Man 3,Sony PSP,2007.0,Platform,Activision,52.0,7.0,7.4,9.0,Treyarch,T,5929
AMF Bowling 2004,XB,2003.0,Sports,Mud Duck Productions,48.0,6.0,4.4,8.0,,,5930
N3: Ninety-Nine Nights,Xbox360,2006.0,Action,Microsoft Game Studios,,,,,,,5931
Scooby-Doo! Night of 100 Frights,GC,2002.0,Platform,THQ,,,,,,,5932
Shrek the Third,Nintendo DS,,Action,Activision,70.0,16.0,6.5,4.0,Vicarious Visions,E,5933
Radiant Historia,Nintendo DS,2010.0,Role-Playing,Atlus,85.0,30.0,9.0,81.0,Atlus,E10+,5934
Sorcery,Sony PS3,2012.0,Action,Sony Computer Entertainment,70.0,52.0,7.3,57.0,The Workshop,E10+,5935
RealSports Boxing,Atari 2600,1986.0,Sports,Atari,,,,,,,5936
Imagine: Makeup Artist,Nintendo DS,2020.0,Simulation,Ubisoft,,,,,Ubisoft,E,5937
Harry Potter and the Order of the Phoenix,Xbox360,2007.0,Action,Electronic Arts,68.0,38.0,6.8,20.0,EA Games,E10+,5938
Grandia II,PS2,2002.0,Role-Playing,Ubisoft,71.0,19.0,8.6,31.0,Game Arts,T,5939
Shaun White Snowboarding: World Stage,Nintendo Wii,2009.0,Sports,Ubisoft,72.0,33.0,8.7,30.0,Ubisoft,E,5940
Spider-Man: Friend or Foe,Xbox360,2007.0,Action,Activision,60.0,51.0,6.3,26.0,Next Level Games,E10+,5941
Guitar Hero: Van Halen,Xbox360,2009.0,Misc,Activision,57.0,34.0,5.8,17.0,"Neversoft Entertainment, Underground Development",T,5942
Dreamworks Madagascar Kartz,Sony PS3,2009.0,Racing,Activision,,,,,Sidhe Interactive,E,5943
Batman: The Brave and the Bold the Videogame,Nintendo DS,2010.0,Action,Warner Bros. Interactive Entertainment,74.0,14.0,8.0,8.0,WayForward,E10+,5944
The Sims 2,PC,2004.0,Simulation,Electronic Arts,90.0,61.0,8.8,676.0,Maxis,T,5945
Phineas and Ferb Ride Again,Nintendo DS,2010.0,Action,Disney Interactive Studios,,,,,Altron,E,5946
Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,77.0,9.0,8.2,25.0,Pocketeers,E,5947
Def Jam Rapstar,Xbox360,2010.0,Misc,Konami Digital Entertainment,74.0,36.0,5.4,9.0,"Terminal Reality, 4mm Games",T,5948
Power Pro Kun Pocket 4,GBA,2002.0,Sports,Konami Digital Entertainment,,,,,,,5949
Guardian Heroes,SAT,1995.0,Role-Playing,Sega,,,,,,,5950
Outlaw Golf,XB,2002.0,Sports,TDK Mediactive,72.0,23.0,6.9,9.0,Simon & Schuster,T,5951
Fisherman's Bait 2: Big Ol' Bass,PS,1999.0,Sports,Konami Digital Entertainment,,,,,,,5952
MySims SkyHeroes,Nintendo Wii,2010.0,Action,Electronic Arts,67.0,9.0,5.2,5.0,Electronic Arts,E10+,5953
Mini Ninjas,Xbox360,2009.0,Action,Eidos Interactive,73.0,44.0,8.4,38.0,Io Interactive,E10+,5954
Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002.0,Adventure,505 Games,67.0,16.0,,,Banpresto,T,5955
Disney Infinity,Nintendo 3DS,2013.0,Action,Disney Interactive Studios,,,,,,,5956
The LEGO Movie Videogame,Sony PS Vita,2014.0,Action,Warner Bros. Interactive Entertainment,,,5.6,14.0,TT Games,E10+,5957
Kurohyou: Ryu ga Gotoku Shinshou,Sony PSP,2010.0,Adventure,Sega,,,,,,,5958
Ben 10 Alien Force: Vilgax Attacks,PS2,2009.0,Action,D3Publisher,,,7.0,4.0,Papaya Studios,E10+,5959
NBA Street V3,GC,2005.0,Sports,Electronic Arts,88.0,36.0,8.4,16.0,EA Canada,E,5960
Nicktoons: Battle for Volcano Island,Nintendo DS,2006.0,Action,THQ,59.0,6.0,,,Natsume,E,5961
WinBack: Covert Operations,PS2,2000.0,Shooter,Midas Interactive Entertainment,66.0,11.0,7.7,20.0,Omega Force,T,5962
Kagero: Deception II,PS,1998.0,Strategy,Virgin Interactive,,,,,,,5963
Syphon Filter: Dark Mirror,Sony PSP,2006.0,Shooter,Sony Computer Entertainment,87.0,58.0,9.0,118.0,Sony Bend,M,5964
Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000.0,Sports,Konami Digital Entertainment,,,,,,,5965
Invizimals: Shadow Zone,Sony PSP,2010.0,Strategy,Sony Computer Entertainment,,,9.0,4.0,Novarama,E10+,5966
Glory of Heracles,Nintendo DS,2008.0,Role-Playing,Nintendo,69.0,23.0,7.3,18.0,Paon Corporation,E10+,5967
Rabbids: Alive & Kicking,Xbox360,2011.0,Misc,Ubisoft,,,,,,,5968
Up,Xbox360,2009.0,Action,THQ,61.0,18.0,6.8,6.0,Heavy Iron Studios,E10+,5969
Modnation Racers: Road Trip,Sony PS Vita,2012.0,Racing,Sony Computer Entertainment,62.0,51.0,6.4,69.0,SCEA,E,5970
NBA Live 06,Xbox360,2005.0,Sports,Electronic Arts,64.0,35.0,5.6,16.0,EA Canada,E,5971
ExerBeat,Nintendo Wii,2010.0,Sports,Namco Bandai Games,60.0,9.0,7.6,5.0,Namco Bandai Games,E,5972
J-League Victory Goal '96,SAT,1996.0,Sports,Sega,,,,,,,5973
Need for Speed: Most Wanted,PC,2005.0,Racing,Electronic Arts,82.0,19.0,8.5,525.0,Black Box,T,5974
Jeopardy! 2nd Edition,PS,2000.0,Misc,Hasbro Interactive,,,,,,,5975
SD Gundam G Century,PS,1997.0,Strategy,Namco Bandai Games,,,,,,,5976
Ratchet & Clank: Size Matters,PS2,2008.0,Platform,Sony Computer Entertainment,,,,,,,5977
Front Mission Evolved,Sony PS3,2010.0,Shooter,Square Enix,58.0,42.0,6.0,30.0,Double Helix Games,T,5978
Ultimate Marvel vs. Capcom 3,Sony PS Vita,2011.0,Fighting,Capcom,80.0,48.0,7.7,93.0,Capcom,T,5979
Little King's Story,Nintendo Wii,2009.0,Strategy,Rising Star Games,87.0,50.0,8.8,86.0,Cing,T,5980
Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006.0,Role-Playing,Tecmo Koei,,,,,,,5981
Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994.0,Misc,Enix Corporation,,,,,,,5982
