Year_of_Release,Genre,Sales
2006.0,Simulation,35.4
2006.0,Sports,251.32
2006.0,Strategy,7.96
2007.0,Action,199.1
2007.0,Adventure,46.300000000000004
2007.0,Fighting,34.36
2007.0,Misc,168.7
2007.0,Platform,69.36
2007.0,Puzzle,44.68
2007.0,Racing,74.60000000000001
2007.0,Role-Playing,84.08
2007.0,Shooter,136.86
2007.0,Simulation,93.3
2007.0,Sports,189.66
2007.0,Strategy,17.3
2008.0,Action,255.84
2008.0,Adventure,47.4
2008.0,Fighting,66.66
2008.0,Misc,163.98
2008.0,Platform,66.28
2008.0,Puzzle,26.62
2008.0,Racing,134.9
2008.0,Role-Playing,110.24
2008.0,Shooter,113.32
2008.0,Simulation,88.68
2008.0,Sports,183.86
2008.0,Strategy,22.38
2009.0,Action,254.9
2009.0,Adventure,39.12
2009.0,Fighting,60.36
2009.0,Misc,142.82
2009.0,Platform,79.54
2009.0,Puzzle,37.64
2009.0,Racing,63.46
2009.0,Role-Playing,92.12
2009.0,Shooter,135.88
2009.0,Simulation,60.56
2009.0,Sports,260.88
2009.0,Strategy,23.82
2010.0,Action,220.18
2010.0,Adventure,31.1
2010.0,Fighting,26.72
2010.0,Misc,174.12
2010.0,Platform,58.760000000000005
2010.0,Puzzle,20.64
2010.0,Racing,65.48
2010.0,Role-Playing,121.10000000000001
2010.0,Shooter,127.26
2010.0,Simulation,42.08
2010.0,Sports,177.14000000000001
2010.0,Strategy,26.78
2011.0,Action,209.92
2011.0,Adventure,31.0
2011.0,Fighting,42.38
2011.0,Misc,105.74000000000001
2011.0,Platform,52.86
2011.0,Puzzle,9.14
2011.0,Racing,67.2
2011.0,Role-Playing,102.6
2011.0,Shooter,182.18
2011.0,Simulation,28.68
2011.0,Sports,109.2
2011.0,Strategy,17.3
2012.0,Action,222.48000000000002
2012.0,Adventure,11.540000000000001
2012.0,Fighting,16.0
2012.0,Misc,43.44
2012.0,Platform,35.34
2012.0,Puzzle,3.4000000000000004
2012.0,Racing,23.900000000000002
2012.0,Role-Playing,85.84
2012.0,Shooter,134.36
2012.0,Simulation,21.86
2012.0,Sports,58.56
2012.0,Strategy,6.04
2013.0,Action,226.08
2013.0,Adventure,11.46
2013.0,Fighting,14.08
2013.0,Misc,49.699999999999996
2013.0,Platform,46.28
2013.0,Puzzle,1.92
2013.0,Racing,24.34
2013.0,Role-Playing,87.22
2013.0,Shooter,108.48
2013.0,Simulation,16.82
2013.0,Sports,78.72
2013.0,Strategy,11.88
2014.0,Action,183.26
2014.0,Adventure,10.92
2014.0,Fighting,31.560000000000002
2014.0,Misc,45.96
2014.0,Platform,17.42
2014.0,Puzzle,2.96
2014.0,Racing,33.12
2014.0,Role-Playing,89.78
2014.0,Shooter,114.78
2014.0,Simulation,10.280000000000001
2014.0,Sports,88.2
2014.0,Strategy,1.96
2015.0,Action,139.88
2015.0,Adventure,14.020000000000001
2015.0,Fighting,15.22
2015.0,Misc,22.96
2015.0,Platform,12.08
2015.0,Puzzle,1.4200000000000002
2015.0,Racing,15.799999999999999
2015.0,Role-Playing,75.16
2015.0,Shooter,111.56
2015.0,Simulation,10.92
2015.0,Sports,79.34
2015.0,Strategy,3.7
2016.0,Action,55.06
2016.0,Adventure,7.36
2016.0,Fighting,8.68
2016.0,Misc,4.84
2016.0,Platform,6.26
2016.0,Puzzle,0.02
2016.0,Racing,5.32
2016.0,Role-Playing,35.6
2016.0,Shooter,70.66
2016.0,Simulation,3.12
2016.0,Sports,44.72
2016.0,Strategy,2.2399999999999998
2017.0,Action,0.02
2017.0,Role-Playing,0.1
2020.0,Simulation,0.5800000000000001
